name;web_0;web_2;web_3;web_4;web_5;additional_info_0;additional_info_1;additional_info_2;additional_info_3;additional_info_4;description;web_1;additional_info_5;additional_info_6;additional_info_7;additional_info_8;additional_info_9;additional_info_10
Innential;https://www.linkedin.com/company/innential/;https://twitter.com/innential;https://innential.com/;;;2019;Human Resources;;B2B;;2019;https://www.facebook.com/innential;Pre-Seed;;;;;
Helios Aerospace;https://helios-aero.com/;;;;;2019;Transportation;;B2B;;2019;;Pre-Seed;;;;;
BETAFASHION;https://beta-fashion.com/;;;;;2019;Business Software;Community and Lifestyle;;B2B;2019;;;Seed;;;;
ThisThat;http://www.thisthatapp.com/;;;;;2017;Marketing and Sales;;B2B;;2017;https://www.linkedin.com/company/thisthat/;Seed;;;;;
fridai;https://www.linkedin.com/company/hallid-ai/;https://www.facebook.com/hallidai/;https://twitter.com/Hallidaigaming;https://www.instagram.com/hallid.ai/;;2019;eSports and Gaming;;B2C;;2019;https://hallid.ai/;Pre-Seed;;;;;
Pukket;https://www.linkedin.com/company/pukket/about/;https://twitter.com/thepukket;https://www.pukket.com/;;;2017;Advertising;Marketing and Sales;;B2B;2017;https://www.instagram.com/thepukket/;;Pre-Seed;;;;
Trucksters;https://www.linkedin.com/company/trucksters;https://twitter.com/trucksters_app;http://www.trucksters.io/;;;2017;Information Technology;Transportation;;B2B;2017;https://www.facebook.com/trucksters.official;;Series A;;;;
watchbooks;https://www.linkedin.com/company/myndseed/about/;https://www.facebook.com/watchbooksofficial/;http://www.watchbooks.de/;;;2018;Education;Media, Entertainment and Publishing;;B2C;2018;https://www.instagram.com/watchbooks/;;Seed;;;;
RemoteMore;https://www.linkedin.com/company/remotemore/;https://www.facebook.com/remotemorestartup/;https://remotemore.com/;;;2017;Human Resources;;B2B;;2017;https://twitter.com/remotemore?lang=en;Exit;;;;;
Spreadmix;https://www.linkedin.com/company/spreadmix/;https://www.facebook.com/spreadmix;https://www.spreadmix.de/;;;2018;Music and Audio;;B2C;;2018;https://www.instagram.com/spreadmix/;Pre-Seed;;;;;
Qualifyze;https://www.linkedin.com/company/chemsquare-gmbh/;https://twitter.com/teamchemsquare?lang=en;https://www.chemsquare.com/en/;;;2017;Professional Services;Science and Engineering;;B2B;2017;https://www.xing.com/companies/chemsquaregmbh;;Series A;;;;
CYCLE;https://www.linkedin.com/company/11803545;https://www.instagram.com/cycle.mobility/;https://www.cycle.eco;;;2018;Transportation;;B2B;;2018;https://www.facebook.com/CYCLE.eco/;Series A;;;;;
Dogo;https://www.linkedin.com/company/dogo-app/;https://www.instagram.com/dogoapp/;https://twitter.com/dogo_app/;https://dogo.pro/;;2016;Community and Lifestyle;;B2C;;2016;https://www.facebook.com/dogoTrain/;Seed;;;;;
Sharpist;https://www.linkedin.com/company/sharpist/;https://www.facebook.com/sharpist.mind/;https://www.sharpist.com/en/home;;;2018;Education;Human Resources;;B2B;2018;https://www.xing.com/companies/sharpist?sc_o=events_company_link&literal=Sharpist;;Series A;;;;
Yolawo;https://www.linkedin.com/company/yolawo-ug/about/;https://yolawo.de/;;;;2018;Business Software;Sports;;B2B2C;2018;https://www.facebook.com/YolawoDeutschland/;;Pre-Seed;;;;
Loco;https://www.linkedin.com/company/loco-games/;https://twitter.com/LocoGamesLive;https://locogames.live/;;;2018;AR/VR;eSports and Gaming;;B2B2C;2018;https://www.facebook.com/locooutdooradventures/;;Seed;;;;
box-to-box;https://www.linkedin.com/company/box-to-box-app/;;;;;2018;Sports;;B2C;;2018;http://streetkickers.de/;Pre-Seed;;;;;
Flowlab;https://www.linkedin.com/company/flowletics/;https://www.instagram.com/flowletics/;https://twitter.com/flowletics?lang=en;http://flowletics.com/;;2018;Community and Lifestyle;Health Care;;B2C;2018;https://www.facebook.com/flowletics/;;Seed;;;;
